baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL004W	109.505519996588	1.47833771055185	0.38568789725457	3.83298962989261	0.000126595292127174	0.000288099744323885
YAL005C	209362.163290483	1.33700223731483	0.150612799316727	8.87708244837287	6.86369251734969e-19	5.70501481055818e-18
YAL008W	1396.17340656884	1.52454779701637	0.175802867515229	8.67191655383159	4.24907014039929e-18	3.36795327636015e-17
YAL017W	4139.99189914112	1.06144215963519	0.120105374944822	8.83759082491379	9.78047232062439e-19	8.03741784764183e-18
YAL018C	13.9216776978718	5.18782605161428	1.09762205011851	4.72642295319609	2.28509437820698e-06	6.4168189160863e-06
YAL028W	616.524246627697	1.14392580954224	0.145627546177124	7.85514718589642	3.99302961563569e-15	2.57772245187148e-14
YAL030W	1123.66934173725	1.08209785356783	0.148216947485094	7.30077006663935	2.86125354849028e-13	1.60617228180952e-12
YAL033W	316.677947344646	-1.01415059585629	0.137316713777594	-7.38548548065949	1.51898112987045e-13	8.71202405187297e-13
YAL034C	1340.52694505746	1.20855896951917	0.155745967594937	7.75980905433376	8.50573489806201e-15	5.35409748187869e-14
YAL053W	6547.98661897428	1.33141198308524	0.16154551915988	8.24171410020697	1.69760824590628e-16	1.21317391251113e-15
YAL054C	497.716426257376	1.97189293311258	0.149639385652469	13.1776331780205	1.18036083592899e-39	3.08914254808443e-38
YAL059W	509.541424579063	-2.02543276721395	0.190893516015692	-10.6102753487313	2.66961177737692e-26	3.32129430975587e-25
YAL060W	9742.0875454238	1.05461192529652	0.16165247094887	6.52394559208497	6.84815592874295e-11	3.03491883646045e-10
YAL061W	2740.29386727987	1.88941065294264	0.247753179656045	7.6261812484736	2.41809793525272e-14	1.47575094577923e-13
YAL062W	383.158449500478	1.00453696799584	0.160368878985116	6.26391463451629	3.75431053206785e-10	1.5703775515705e-09
YAR002C-A	4927.78478532132	-1.02111383809859	0.125303151202903	-8.14914731430101	3.66499267113503e-16	2.54403911819529e-15
YAR015W	5888.62836750332	-2.28801336952791	0.232157531273191	-9.85543461364386	6.4935147765609e-23	6.77330715472511e-22
YAR071W	1635.60470821825	-1.80353635465105	0.178242840171162	-10.1184224450147	4.57733601780677e-24	5.0272820913908e-23
YAR073W	15.2086460763203	-2.79245094596722	0.674797553947912	-4.13820549530737	3.5003280060741e-05	8.53774379315303e-05
YBL002W	6669.80940270678	-2.19492971067213	0.117000655570699	-18.759977881883	1.6046626687925e-78	2.16816048969406e-76
YBL003C	3277.27445421541	-1.66163465647632	0.125462333523069	-13.2440917510178	4.88151519854581e-40	1.30698632735259e-38
YBL004W	1919.5777849107	-2.31298406739811	0.159855811013247	-14.469189782575	1.89693458683252e-47	7.60082065482547e-46
YBL009W	899.507596812983	-1.75913642074464	0.148201072612483	-11.8699304244878	1.69608626443338e-32	2.85630759314723e-31
YBL018C	182.369605952732	-1.36542008532561	0.231689654376817	-5.89331486983407	3.78524139131343e-09	1.42806834308643e-08
YBL022C	6135.66186812369	1.30522803415105	0.0958793561785599	13.613233194018	3.3412870138623e-42	9.95532182078974e-41
YBL024W	2539.04428406195	-1.14077198277505	0.164869800829028	-6.91922945887491	4.54106816563116e-12	2.23969491021367e-11
YBL027W	15188.4256663595	-3.29261936975323	0.465503236792611	-7.07324699273819	1.5134974561329e-12	7.83151614462286e-12
YBL028C	304.436990391551	-1.94691266017697	0.207751914251762	-9.37133439751424	7.16212342436366e-21	6.5737657338946e-20
YBL029W	248.365888601566	-1.59285201997186	0.168722667520845	-9.44065218607969	3.7046625634324e-21	3.47723578247856e-20
YBL032W	2666.77618449716	-1.07963756111108	0.132022216662602	-8.17769606058206	2.89322434576266e-16	2.03506458218899e-15
YBL039C	2844.79206485102	-1.9637635365244	0.199173413883156	-9.85956658691624	6.23178037901972e-23	6.51198633131378e-22
YBL043W	308.16469157375	1.34226455457749	0.282679778047227	4.74835718299327	2.0507562418194e-06	5.78673810829078e-06
YBL049W	122.387199310558	3.34027852783028	0.345158789563322	9.67751257922836	3.75746457728694e-22	3.72540429932374e-21
YBL064C	4405.53289748813	2.5018628660111	0.165814124960277	15.088357922526	1.93190627392944e-51	9.95355016524522e-50
YBL065W	6.02816035753344	1.86979571138969	0.803605017051868	2.32675962906414	0.0199780622023779	0.0319319233551074
YBL068W-A	33.2156613247477	-1.54870104253278	0.37459161947099	-4.13437183864365	3.55926807217777e-05	8.6778629875589e-05
YBL072C	20889.663563753	-3.48701312772595	0.273062465022356	-12.770019956571	2.41092643429848e-37	5.55852483463261e-36
YBL075C	21414.5554216733	5.03076311603989	0.172209871567904	29.21297757345	1.32685338437416e-187	2.5696727210713e-184
YBL076C	12022.9209041805	-1.78190846015786	0.174428542857159	-10.2156930911077	1.68669389161138e-24	1.88093886953208e-23
YBL078C	689.453868787561	2.52357714664217	0.161807141000616	15.5962037956814	7.72533422520622e-55	4.58001957637226e-53
YBL082C	862.370405521625	-2.13484784867184	0.143994820932637	-14.8258655057501	9.96866958873841e-50	4.42121910767711e-48
YBL083C	103.374105396732	-2.22809671597748	0.220665231064689	-10.0971807168131	5.68531541260519e-24	6.20896288481883e-23
YBL087C	8235.59640900962	-3.50987224884873	0.263296777619665	-13.3304793191156	1.53905637285453e-40	4.19808334567363e-39
YBL091C-A	479.1614705957	1.43525420488383	0.170297540631167	8.42792091749771	3.5186071275856e-17	2.6653334304136e-16
YBL092W	14005.6628092228	-3.55751547105963	0.49804793923154	-7.14291776118715	9.13702976002073e-13	4.82601299142913e-12
YBL098W	964.157998969015	-1.11970169922751	0.186238232685822	-6.01220105603349	1.83021130367172e-09	7.16544991531854e-09
YBL101C	2613.76884772204	1.21891976406754	0.140314059964662	8.68708213827267	3.71867260574785e-18	2.9556070915725e-17
YBL106C	402.655008412162	-1.13932394789173	0.147829735553574	-7.70700119042582	1.28808599592959e-14	7.97844310911615e-14
YBR005W	766.133826600351	1.05273356693499	0.255626725742108	4.11824531992424	3.81768171384504e-05	9.27288075143799e-05
YBR006W	1705.99652895066	1.91034354595344	0.198136418935921	9.64155684357685	5.33722887892134e-22	5.21164702294672e-21
YBR009C	4053.84347141454	-1.46306054570831	0.134615429548857	-10.8684461403238	1.62952413562595e-27	2.17644487999695e-26
YBR010W	3611.47130416319	-1.25120693737617	0.133304167538419	-9.38610517946159	6.22600256094038e-21	5.72358779732019e-20
YBR013C	125.020263232465	1.23497680103235	0.262044014888408	4.71286017182366	2.4426381600994e-06	6.82622785482324e-06
YBR018C	209.698580440893	1.34590475191153	0.203124344491705	6.62601400772272	3.4487245940825e-11	1.56784740935989e-10
YBR019C	78.7185987090813	1.03492392246374	0.242680199928061	4.26455855389327	2.00297813816537e-05	5.02691273552517e-05
YBR021W	647.331883306942	-1.41201702888343	0.170985784898185	-8.25809601496539	1.48014472342216e-16	1.06695295819885e-15
YBR024W	559.760854223926	1.07039736303357	0.149847372882889	7.14325077871154	9.11491094778015e-13	4.81935410696983e-12
YBR026C	4188.85847453217	1.45341852300564	0.107436895477707	13.5281135641827	1.06727393227348e-41	3.05461159926547e-40
YBR031W	41935.2012657376	-2.54394717177668	0.191579739917009	-13.2787901939876	3.07319199950399e-40	8.26631736903621e-39
YBR033W	156.464795276643	2.53164976254446	0.217974427934079	11.6144347139202	3.48082876586247e-31	5.48065450668319e-30
YBR038W	2506.80187986934	-1.04892233895276	0.112215302883314	-9.34740906098584	8.98209933713922e-21	8.19246423057753e-20
YBR046C	1924.77253923528	1.67030085466283	0.147232990641549	11.344609977592	7.88771413278226e-30	1.17506715670423e-28
YBR047W	150.553227387143	1.15659053357655	0.201399830930979	5.74275821499039	9.31466835770417e-09	3.37605883707182e-08
YBR048W	11069.1543683389	-3.58264761993203	0.249277407003941	-14.3721312853491	7.74118024289498e-47	3.01854075243086e-45
YBR052C	4597.10867684827	1.62128140348383	0.137410818438923	11.7987900945693	3.95963605336382e-32	6.48041844226586e-31
YBR053C	4120.11474758723	1.72343995460506	0.159772554962076	10.7868335398038	3.97241379985342e-27	5.23349754583864e-26
YBR054W	9782.96254814457	1.64284328701544	0.189378884689356	8.67490211334937	4.1390635443936e-18	3.28524032690257e-17
YBR056W	3773.98684449022	1.4911160321013	0.121177312632684	12.3052409704877	8.48827174247674e-35	1.64389529412633e-33
YBR056W-A	77.0147376703079	1.1880754587291	0.349749775020354	3.39692987267814	0.000681464285926718	0.00140600408424511
YBR062C	954.090119770893	1.44225799607704	0.140956906384327	10.2319072762894	1.42681231885865e-24	1.59726003325024e-23
YBR069C	5477.34829552009	-1.06919795796704	0.121338871692781	-8.81166886629831	1.23296374904227e-18	1.00752733923144e-17
YBR072W	104131.614984648	8.10820902345309	0.18311553806794	44.2791972161574	0	0
YBR076W	57.3528104476568	2.60714951446253	0.358751125250847	7.26729292525439	3.6676293364305e-13	2.03913171719246e-12
YBR078W	29933.2637607208	-1.07197714731167	0.170881684274022	-6.27321267265059	3.53673288061911e-10	1.48256984389589e-09
YBR079C	7264.57467570006	-1.09992582095412	0.161298098968294	-6.81921131116574	9.15416688912214e-12	4.40279053193705e-11
YBR083W	1572.00312474787	-1.34851861176725	0.246810679603899	-5.46377739379616	4.66107982154481e-08	1.5671801946282e-07
YBR084C-A	10962.8443074991	-3.08395912082186	0.469803804014759	-6.56435536380837	5.22584400351825e-11	2.33375508535289e-10
YBR084W	3883.04493598859	-2.27291995144032	0.165354175623293	-13.7457668841605	5.39978352882656e-43	1.67768675414344e-41
YBR085C-A	5350.27842871258	2.78371190184733	0.194355944134309	14.3227515589832	1.57751505433804e-46	6.06977646735366e-45
YBR088C	1522.39639928731	-1.57517468117339	0.135730743302037	-11.6051429680025	3.88038549937376e-31	6.07683012166079e-30
YBR089C-A	1630.43795312088	1.19633723126611	0.102097509217324	11.7175946841131	1.03571009693801e-31	1.66228609480935e-30
YBR090C	589.509451298914	1.32078760504704	0.136985470622035	9.64180798919403	5.32418474316117e-22	5.20766218144215e-21
YBR092C	8234.84806477834	-1.80459679032949	0.217161822819831	-8.30991730911503	9.57687852246079e-17	7.02546265347187e-16
YBR093C	4708.24885454652	-2.20024384967119	0.182794905986391	-12.0366803319727	2.27945043421596e-33	4.03768506792522e-32
YBR099C	26.4372254800185	-3.07406555500086	0.450274349472026	-6.82709454492664	8.66515931586863e-12	4.18491900458826e-11
YBR104W	628.121112756412	-1.3321036571746	0.189922232047238	-7.01394272179404	2.31694280009778e-12	1.18290313432057e-11
YBR105C	5431.0958770973	1.07132206666642	0.116069153914705	9.23003253262019	2.70549716864641e-20	2.41088014568031e-19
YBR108W	1696.06716347137	1.06661225003491	0.133131294616172	8.01173197564131	1.13104149814323e-15	7.57068099563611e-15
YBR114W	2251.90212899109	1.28565145457953	0.127889279245343	10.0528477614854	8.92502690671827e-24	9.67432953881216e-23
YBR116C	169.795595948429	4.19506865565471	0.373595914411372	11.2288932877233	2.94139616269273e-29	4.27237792631119e-28
YBR117C	1859.1956813764	5.60474928217434	0.281054216451424	19.9418793745193	1.76314535381613e-88	3.4146248352239e-86
YBR121C	11027.3035800037	-1.61934351053381	0.134287099009319	-12.0588166881275	1.74268708825345e-33	3.13467863243113e-32
YBR126C	25483.5314999216	2.27746200834258	0.191640903176229	11.884007905391	1.43326714619545e-32	2.43487781268875e-31
YBR137W	1354.90284223505	1.6705822539312	0.13352423430145	12.511453540034	6.46306269152559e-36	1.35560990028028e-34
YBR139W	6281.76941167761	1.57260041851631	0.145866140443107	10.7811203733719	4.22705534876786e-27	5.5438355702802e-26
YBR143C	6890.87971805183	-1.15921554595388	0.11856211815227	-9.77728438070829	1.40941346789336e-22	1.43913747776106e-21
YBR147W	243.67213013504	1.90412157099837	0.200705216170799	9.48715537805444	2.37424798462317e-21	2.24298874644888e-20
YBR149W	7968.89346532255	1.58794609964995	0.136753074940188	11.6117761910983	3.59078115700298e-31	5.63849689788847e-30
YBR162C	14016.2186190371	-2.03905043394804	0.143976019165883	-14.1624309781668	1.5648570218585e-45	5.54379225426701e-44
YBR169C	14135.2044851764	2.13807704769657	0.201166538420597	10.628393094016	2.19868082542453e-26	2.75308956804235e-25
YBR170C	2758.58714721522	1.36294737639304	0.0993688613102438	13.7160410054184	8.13897753282225e-43	2.48881365608933e-41
YBR173C	2533.90820514542	1.00598965748823	0.115099673390822	8.74016083496933	2.32778793790352e-18	1.8706013719529e-17
YBR181C	13525.9261477777	-3.18492043740124	0.301932202015809	-10.5484622578763	5.16352418640662e-26	6.32912985717774e-25
YBR183W	1025.0229962129	1.4334479894696	0.165323746193316	8.67055110034492	4.30033905631152e-18	3.40394685520027e-17
YBR186W	89.6428881987427	2.85129923324745	0.265138147864133	10.7540135443225	5.67378248850413e-27	7.40779241757506e-26
YBR187W	2610.61970555142	-1.74901709035336	0.157660215655572	-11.0935855509312	1.34775088605302e-28	1.90059044853594e-27
YBR189W	21981.152984563	-3.73895119117196	0.506700862661685	-7.37901090503647	1.5946977108052e-13	9.11928513757697e-13
YBR191W	13012.686003269	-3.6623029353139	0.475967978455732	-7.69443135060507	1.42124826783726e-14	8.76587307445274e-14
YBR214W	5314.25646762382	1.77732086089135	0.168877845670938	10.5242985178441	6.67568271567027e-26	8.0972268430155e-25
YBR230C	2260.71277276211	1.68550949635743	0.186837594904519	9.02125451367959	1.85947525157399e-19	1.58875753112425e-18
YBR230W-A	137.048584177803	1.00819569712735	0.184840289424897	5.45441526987542	4.91342562263487e-08	1.64943947654239e-07
YBR241C	1616.0228326891	1.94982035149335	0.14383735479257	13.5557300417907	7.32794343649929e-42	2.10769066168618e-40
YBR242W	550.849908017691	-1.31273465153881	0.128393879506831	-10.2242774856645	1.54374819479551e-24	1.72484173303114e-23
YBR244W	831.122815333386	-2.27435082587814	0.174788994817859	-13.0119795485302	1.04596966050366e-38	2.65374835263156e-37
YBR249C	5819.00962384992	-3.3651676775593	0.171377254432678	-19.6360228123578	7.61323353804521e-86	1.34039051078917e-83
YBR252W	976.820184932019	-1.27112858374614	0.108417687503214	-11.7243653966375	9.56148876463242e-32	1.53884348261813e-30
YBR263W	4992.35515970745	-1.2506449651885	0.0956042379716978	-13.0814804000502	4.20176366110136e-39	1.08018791464597e-37
YBR265W	1807.6272966839	-1.14483156518373	0.156154205545077	-7.33141679526049	2.27732196301525e-13	1.28833890994339e-12
YBR269C	1273.75887394931	1.01375868995101	0.136831407513405	7.4088157709822	1.27432182583614e-13	7.32717020353789e-13
YBR275C	1026.74913681316	-1.06511099846905	0.116206731638976	-9.16565661426634	4.92462425313254e-20	4.34833843627661e-19
YBR280C	1399.35359831188	1.55121948487403	0.147018588095541	10.5511793098296	5.01634612455884e-26	6.1617274806949e-25
YBR284W	408.975234132663	1.45989894445663	0.228514711419847	6.3886431441798	1.67364113671447e-10	7.18157681263743e-10
YBR285W	423.413071997256	4.78696008002566	0.254637097942121	18.7991463879852	7.674147578415e-79	1.06159041501408e-76
YBR294W	32.2054375485156	1.84272855617781	0.385029179365734	4.78594520865501	1.70184483803339e-06	4.86600320323523e-06
YBR296C	1357.77333470887	-1.16688364074686	0.122348336425127	-9.53738869560317	1.46473979905668e-21	1.39969378824331e-20
YBR298C	676.210447054457	-1.21795913609614	0.287417681807409	-4.23759292899823	2.25928917489773e-05	5.64094117153235e-05
YCL001W-B	6.88973208214514	2.12332094678905	0.806094107440747	2.63408568204318	0.00843641956224106	0.0144205936030069
YCL024W	707.605721996186	-1.28819503404176	0.121671920041953	-10.5874472400665	3.40757911272375e-26	4.22132934859808e-25
YCL026C-B	318.234834219922	1.96345945118118	0.166313087299796	11.8058024359914	3.64298890926716e-32	6.01300158035289e-31
YCL027W	364.723556287239	-1.02051608978748	0.180408049753696	-5.65671039169678	1.54301801602307e-08	5.47978891998415e-08
YCL030C	7547.29975856168	-1.7542415173452	0.145352983105265	-12.0688373906628	1.54298770392978e-33	2.80148704994751e-32
YCL035C	2729.19611153882	2.11735255987602	0.161281541501312	13.1283006112563	2.26686615290158e-39	5.85355215482586e-38
YCL040W	50711.3120257506	2.59943809792018	0.185743975758928	13.9947370422065	1.67849352045083e-44	5.57259848789675e-43
YCL042W	973.105933193425	2.35901909877825	0.18592372223825	12.6881017138594	6.88339396955112e-37	1.52643202149206e-35
YCL044C	1905.26671564644	1.36399794050167	0.164155830741612	8.30916534819074	9.63775503126851e-17	7.06120513640227e-16
YCL048W	29.2910429808241	1.60250023712928	0.374617653435138	4.27769546478871	1.88838120715171e-05	4.75368059512626e-05
YCL048W-A	104.854580716667	6.8005521888392	0.694369599290161	9.79385070399289	1.19650340007324e-22	1.22604669390221e-21
YCL059C	1034.51155712082	-2.10119657775142	0.215925749673264	-9.73110701679129	2.22161884113726e-22	2.24090372691102e-21
YCL064C	14689.3743459899	1.57663305855318	0.190772201137717	8.26448009275221	1.40304873689511e-16	1.01389467181102e-15
YCR005C	18291.7076831906	1.08449611034635	0.178128337441144	6.08828514275377	1.14126478876822e-09	4.56034967176299e-09
YCR007C	134.895593565471	1.19181101499828	0.21180803700768	5.62684509915487	1.83535400476467e-08	6.47877403112152e-08
YCR010C	51.081601519383	1.46238897962041	0.286771100868933	5.09949913080253	3.40553433616133e-07	1.04855084754093e-06
YCR013C	246.382380342639	1.03269320846916	0.327282817238317	3.15535418933157	0.00160303370452791	0.00310557713348021
YCR020C-A	223.037095987564	-1.06806140520827	0.16527195770295	-6.46244783478599	1.03022666216664e-10	4.49033526420716e-10
YCR021C	9083.01988014432	2.86518073763933	0.615624079398877	4.65410765030019	3.25386781811291e-06	8.95970238068058e-06
YCR022C	8.25406978406487	-1.5735620200414	0.663224925369328	-2.37259180083609	0.0176637730742363	0.0284678284497401
YCR023C	1420.42014668727	-1.06308689109891	0.129431386396181	-8.21351698918584	2.14802319362366e-16	1.52381132539115e-15
YCR024C-A	155.643855676046	-1.80905525848957	0.30512534314899	-5.9288921720482	3.04985269228024e-09	1.16346974012792e-08
