control_1	control_2	control_3	heat_1	heat_2	heat_3
YAL001C	10.5441817965946	10.5161940709013	10.473516440635	10.7855988864436	10.6353788420095	10.6441299894828
YAL002W	10.6687444001861	10.9089346851469	10.4873702890496	10.9210035887957	10.8234384642812	10.7766290853156
YAL003W	15.3435255624178	15.377606644432	15.6146076623939	14.9729825691524	15.3116705297225	15.1585814967927
YAL004W	5.16561903563624	6.08894420822938	6.47076180698504	6.74239681099337	7.30453664707089	7.43350354775257
YAL005C	16.8737229330703	16.7088883009419	17.1233755053737	18.1657441430469	18.2376157337926	18.0058413010058
YAL007C	11.2346344301181	11.3785659153356	11.2218264447613	10.819782084183	10.8551586801795	10.6266324080366
YAL008W	9.60901383672434	9.74317566797816	9.30784138470321	11.1358279090867	10.9497260352141	10.7293259282145
YAL009W	9.3984842926254	9.39007089899005	9.29828298223447	9.62192701908365	9.54891837797734	9.4287521084208
YAL010C	9.39671708993036	9.27022031711638	9.24881274051526	9.69629498020945	9.63095775895324	9.51909424468744
YAL011W	8.9334023705941	8.84498404850465	9.22197236126087	8.85204479419335	9.0892409975187	8.90731818550189
YAL012W	13.8249170184671	13.8417389863582	13.9963007190223	13.0316475680143	13.2891584559394	13.2888851688175
YAL013W	9.88644851379427	10.1238394082205	10.0537880967069	9.74689642344361	9.95622560987846	9.86864780662181
YAL014C	10.3712363549769	10.4165442305964	10.3934766616953	10.5386938962078	10.6698127830892	10.600530036827
YAL015C	9.46517242123908	9.40117996616534	9.44969577922171	10.0648763433033	10.0614803986001	10.0174470909709
YAL016W	12.2329630097661	12.3012059794655	12.1565278874192	12.5298171827331	12.4671319433331	12.3403882952321
YAL017W	11.3938504847295	11.5160434688046	11.3930128490092	12.4859533155228	12.4631553350105	12.2569278439747
YAL018C	2.68964481640032	2.64327754637106	2.74729866106367	3.96841503355372	4.15413003658193	4.22738807635299
YAL019W	10.8745539985028	10.7675747863847	10.8402644957513	9.96020178246245	10.2971900712736	10.3353356780856
YAL020C	9.68454576365875	9.62388094199528	9.6807894503663	9.44594408622317	9.45766769321263	9.55027035813823
YAL021C	12.0849630894702	12.1742254240985	11.7822079301682	11.8100520460898	11.9945949021889	11.8625151342384
YAL022C	11.1209414460756	11.2964255290649	11.1800713765254	11.0294946066064	11.1486644240283	11.0628587661266
YAL023C	13.5378817461487	13.8320085613564	13.5596602844298	13.1381402268815	13.366927237487	13.081485274131
YAL024C	10.0111645320822	10.0605092280951	9.74782236363055	9.75594154911696	9.80075003123135	9.86029593695552
YAL025C	10.3303305020185	10.1065481927963	10.455328248705	9.16770687734177	9.51395306117817	9.75162171267815
YAL026C	11.4215857558462	11.5300285961333	11.3218855166687	11.1543414579894	11.2706947174908	11.1805797687631
YAL026C-A	6.60742403162321	6.94192062167394	6.9010150929909	6.6577724878071	6.55991190073858	6.14615767892575
YAL027W	8.28740074872186	7.82632998069881	8.24507813831467	8.46686425510818	8.1845814895268	8.51891197955308
YAL028W	8.54594348517593	8.75712340704632	8.63623455967028	9.70367354877716	9.79054286017505	9.50695278394493
YAL029C	11.5607387007471	11.6756884401551	11.4778227820069	11.0874049302051	11.2681831404101	11.2153276727466
YAL030W	9.59837715184154	9.63586697399707	9.39209520664894	10.7004093748142	10.4802856676523	10.3772638109563
YAL031C	10.3883365291141	10.4202683277293	10.4370395140613	10.724334569889	10.7246829708909	10.7026996399563
YAL032C	8.90121082887297	8.74891357887472	9.15645587673818	9.25862849821699	9.14332014859461	9.01863726884959
YAL033W	8.73847203663048	8.62189509534711	8.63566162168451	7.81275479708193	7.78715200854935	7.73589172287925
YAL034C	9.7159684701185	9.78594027074988	9.65224055015026	10.9764511067755	10.8876760299969	10.5437844777184
YAL034W-A	7.79930951686479	7.946878064734	7.91612928913254	7.40273378934612	7.2119556819185	7.57175205883668
YAL035W	13.0854894729142	12.9893657591983	13.0371114731983	12.3342551268977	12.5112620173593	12.5213797531433
YAL036C	11.3195154313251	11.1646586468795	11.2068694379848	10.0989551025688	10.5836118757635	10.5284192343103
YAL037C-B	6.96728413635196	8.17335844907217	8.44180047833357	7.56255825592714	8.13846724864579	8.16410118517987
YAL037W	6.51525748120448	6.93527734869191	6.65181564296343	6.88434490599841	6.54839764351667	6.80834018832136
YAL038W	17.8789478285752	17.9648888057574	17.9597939152204	17.2950320305702	17.5258968172284	17.4926310955196
YAL039C	9.48063506925488	9.57816388406624	9.48766741283764	10.2880827752862	10.3042146021208	9.85008951000365
YAL040C	11.5792591267848	11.7362556259542	11.6352871709963	12.0083403917578	12.2988585348927	11.951042857412
YAL041W	11.1535573964367	11.2257765945307	11.085350406691	11.2866067875357	11.3467911241921	11.3726658541004
YAL042W	12.7930088036211	12.87722444518	12.71415259817	12.2306404618642	12.3517602224585	12.3393782549054
YAL043C	11.1648302464253	11.4131160753726	11.3169583725971	11.2033237221106	11.3284985893609	11.3165908597676
YAL044C	12.2103221950601	12.8106854039785	11.9971245852107	12.6291218898392	12.4910516551947	12.4865071536317
YAL044W-A	9.09706013504025	9.02613555325514	8.93379056404443	9.10199019331712	9.16908910716012	9.0210852684308
YAL046C	8.63031156759727	8.75519267771729	8.57209411883148	8.68889776534416	8.80988070129599	8.63996777376808
YAL047C	8.69796386030527	8.39980590841784	8.68417062541592	8.66384762257935	8.67003015115541	8.74814531227336
YAL048C	9.53745933301539	9.46500732561563	9.19765295863252	9.79546134735251	9.69122637284545	9.74319780956838
YAL049C	10.3640768617713	10.3324448614857	10.1518906601886	10.8940613655552	10.8610548784755	10.7358335684541
YAL051W	10.3340142665886	10.21205689226	10.0324213630848	10.6786094888367	10.6158321892582	10.6141587279644
YAL053W	11.9237897275331	12.0260198776492	11.7991083932878	13.2283254742391	13.3026505018842	12.8396416152289
YAL054C	7.70718613961334	7.97307237986458	7.65697227691178	9.60400925617215	9.49290375329948	9.4962467124203
YAL055W	8.04435233492893	7.60638131436634	7.83110245177033	8.29277698694076	8.00260856787673	8.3111674272018
YAL056W	11.0463121698298	11.0487187843423	11.0165238629401	10.9991638238878	10.951382759982	10.8636813186695
YAL058W	9.7551244949048	9.64192500601301	9.72319205243794	9.93581925645815	9.96360243477633	9.99217105553829
YAL059W	9.70278551748583	9.26399736629005	9.70288296115485	7.59861270719541	7.72680026638382	7.9680711953601
YAL060W	12.5472994856992	12.9182332718838	12.5131152979048	13.7593821371205	13.670497274663	13.470487557954
YAL061W	10.1118747868671	9.93839799708135	10.6518880473018	12.2782673139866	12.0508427250241	11.5495365174402
YAL062W	7.90716596409492	8.03547261978315	8.21119525811206	9.05381196238016	8.97191732286642	8.78677197122311
YAL063C	7.8346205104925	7.74995470209035	7.47956295439913	8.14883794326586	8.05297255581464	8.01261517005203
