ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005975	GO:0005975	carbohydrate metabolic process	69/571	240/5607	1.2651668267139e-16	1.72062688433091e-13	1.53418124670991e-13	YAL017W/YBR018C/YBR019C/YBR053C/YBR056W/YBR105C/YBR126C/YCL040W/YCR005C/YCR036W/YDL021W/YDR001C/YDR009W/YDR074W/YDR516C/YEL011W/YEL012W/YEL070W/YER054C/YER062C/YFL053W/YFR003C/YFR017C/YFR053C/YGL062W/YGL156W/YGR043C/YGR066C/YGR248W/YGR254W/YGR256W/YHR104W/YIL097W/YIL099W/YIL107C/YIL155C/YJL034W/YJL052W/YJL089W/YJL155C/YJR096W/YKL035W/YKL085W/YKR097W/YLL026W/YLR070C/YLR258W/YLR307W/YLR345W/YML070W/YML100W/YMR105C/YMR196W/YMR261C/YMR280C/YMR311C/YMR323W/YNL009W/YNL117W/YNR001C/YOL132W/YOR120W/YOR178C/YOR347C/YOR393W/YPR001W/YPR026W/YPR160W/YPR184W	69
GO:1901565	GO:1901565	organonitrogen compound catabolic process	86/571	393/5607	9.17231335322908e-13	6.23717308019577e-10	5.5613184120631e-10	YAL005C/YBL022C/YBL075C/YBR006W/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR183W/YBR280C/YCL044C/YCL064C/YDL097C/YDL126C/YDL147W/YDL238C/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR380W/YDR394W/YEL012W/YEL060C/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL010W/YGL011C/YGL141W/YGL248W/YGR019W/YGR023W/YGR048W/YGR066C/YGR087C/YGR225W/YGR253C/YHR137W/YIL097W/YIL101C/YIR025W/YIR027C/YIR028W/YJL034W/YJL048C/YJR078W/YJR148W/YKL015W/YKL218C/YLL039C/YLR024C/YLR142W/YLR205C/YLR307W/YLR438W/YML088W/YMR020W/YMR067C/YMR169C/YMR170C/YMR174C/YMR184W/YMR250W/YMR303C/YMR304W/YNL155W/YNR001C/YOL038W/YOL082W/YOR003W/YOR007C/YOR261C/YOR362C/YPL052W/YPL087W/YPL154C/YPR108W/YPR127W/YPR151C	86
GO:0044282	GO:0044282	small molecule catabolic process	43/571	144/5607	2.51165520850356e-11	1.13861702785495e-08	1.01523747375302e-08	YBR006W/YBR018C/YBR019C/YCL064C/YCR036W/YDR272W/YDR380W/YDR533C/YFL053W/YGL010W/YGL156W/YGL205W/YGR019W/YGR087C/YGR256W/YHR104W/YHR137W/YIL101C/YIL155C/YIL160C/YJR078W/YJR096W/YJR148W/YKL015W/YKR009C/YLR070C/YLR142W/YLR438W/YML004C/YML070W/YMR105C/YMR250W/YMR303C/YNL009W/YNL202W/YNL274C/YOR040W/YOR120W/YOR388C/YOR391C/YPL280W/YPR001W/YPR127W	43
GO:0016052	GO:0016052	carbohydrate catabolic process	31/571	87/5607	1.19659593949994e-10	4.06842619429981e-08	3.62757505869456e-08	YBR018C/YBR019C/YBR056W/YCL040W/YCR036W/YDL021W/YDR001C/YDR516C/YFL053W/YFR017C/YFR053C/YGL156W/YGR254W/YGR256W/YHR104W/YIL099W/YIL155C/YJL052W/YJR096W/YLR070C/YLR307W/YLR345W/YML070W/YMR105C/YMR323W/YOR120W/YOR347C/YOR393W/YPR026W/YPR160W/YPR184W	31
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	44/571	159/5607	2.36217257087483e-10	6.42510939277954e-08	5.72889010873222e-08	YAL054C/YBR006W/YBR026C/YCL040W/YDL021W/YDR272W/YDR516C/YDR533C/YEL071W/YER024W/YFR053C/YGL010W/YGL062W/YGL205W/YGR019W/YGR254W/YGR256W/YIL160C/YJL052W/YKL218C/YKR009C/YLR345W/YML004C/YML042W/YML054C/YMR020W/YMR169C/YMR170C/YMR323W/YNL009W/YNL117W/YNL202W/YNL274C/YOR040W/YOR100C/YOR221C/YOR317W/YOR347C/YOR374W/YOR388C/YOR391C/YOR393W/YPL280W/YPR001W	44
GO:0006091	GO:0006091	generation of precursor metabolites and energy	53/571	214/5607	3.01069385100079e-10	6.82423939560178e-08	6.0847707304437e-08	YAL017W/YAL054C/YBR026C/YBR117C/YCL035C/YCL040W/YCR005C/YDL021W/YDL085W/YDR031W/YDR513W/YDR516C/YEL011W/YEL039C/YER054C/YER067W/YFL053W/YFR003C/YFR017C/YFR053C/YGR043C/YGR248W/YGR254W/YGR256W/YIL066C/YIL099W/YIL111W/YJL045W/YJL052W/YJL116C/YKL035W/YKL085W/YKR046C/YLR258W/YLR345W/YML070W/YMR030W/YMR105C/YMR118C/YMR311C/YMR315W/YMR323W/YNL009W/YNL117W/YNR001C/YOL071W/YOR178C/YOR347C/YOR374W/YOR393W/YPR001W/YPR160W/YPR184W	53
GO:0006979	GO:0006979	response to oxidative stress	35/571	126/5607	1.57036567392316e-08	3.05099616647928e-06	2.72039286670598e-06	YBL022C/YBL064C/YBR006W/YBR024W/YBR046C/YBR126C/YCL026C-B/YCL035C/YCR021C/YCR083W/YDL124W/YDR231C/YDR453C/YDR513W/YDR533C/YFL014W/YGR023W/YGR043C/YGR088W/YGR097W/YHR008C/YHR104W/YIL101C/YJR096W/YKL026C/YKL086W/YKL150W/YLR205C/YML007W/YMR250W/YOL052C-A/YOL081W/YOR120W/YOR351C/YPL196W	35
GO:0034599	GO:0034599	cellular response to oxidative stress	32/571	110/5607	1.9540196399115e-08	3.32183338784955e-06	2.96188240155006e-06	YBL022C/YBL064C/YBR006W/YBR024W/YBR046C/YBR126C/YCL026C-B/YCL035C/YCR021C/YCR083W/YDL124W/YDR453C/YDR513W/YDR533C/YFL014W/YGR023W/YGR043C/YGR097W/YHR008C/YHR104W/YIL101C/YJR096W/YKL026C/YKL086W/YKL150W/YML007W/YMR250W/YOL052C-A/YOL081W/YOR120W/YOR351C/YPL196W	32
GO:0016051	GO:0016051	carbohydrate biosynthetic process	27/571	89/5607	9.82896298787947e-08	1.48526551816845e-05	1.32432343415639e-05	YAL017W/YBR053C/YBR105C/YBR126C/YDR074W/YEL011W/YEL012W/YER054C/YER062C/YFR017C/YGL062W/YGR066C/YIL097W/YJL034W/YJL052W/YJL089W/YKL035W/YKR097W/YLR070C/YLR258W/YML100W/YMR105C/YMR261C/YMR311C/YOL132W/YOR178C/YPR184W	27
GO:0005991	GO:0005991	trehalose metabolic process	9/571	12/5607	1.84319755478023e-07	2.50674867450112e-05	2.23511956116508e-05	YBR126C/YDR001C/YDR074W/YKL035W/YLL026W/YML100W/YMR105C/YMR261C/YPR026W	9
